Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776102543,10,,Aggregated,4.200000,0.700000,380,450,540,580,730,910,1100,1100,1200,1200,1200,118,16,380,410.2947948509393,2.490249986294657,1150.729249988217,6003.957627118644
1776102544,10,,Aggregated,4.100000,0.800000,370,440,540,580,700,850,1100,1100,1200,1200,1200,121,16,370,407.4863305980193,2.490249986294657,1150.729249988217,6074.272727272727
1776102545,10,,Aggregated,4.200000,0.900000,380,450,570,580,780,920,1100,1100,1200,1200,1200,126,17,380,419.48983136015676,2.490249986294657,1150.729249988217,6117.373015873016
1776102546,10,,Aggregated,4.200000,0.700000,380,460,570,620,790,920,1100,1100,1200,1200,1200,130,17,380,426.36475257190443,2.490249986294657,1150.729249988217,6201.1461538461535
1776102547,10,,Aggregated,4.200000,0.700000,380,500,570,610,780,920,1100,1100,1200,1200,1200,133,17,380,428.6196453705136,2.490249986294657,1150.729249988217,6260.669172932331
1776102548,10,,Aggregated,4.100000,0.800000,390,520,570,610,790,920,1100,1100,1200,1200,1200,137,18,390,429.8344622867481,2.490249986294657,1150.729249988217,6214.321167883211
1776102549,10,,Aggregated,4.200000,0.700000,390,520,570,610,790,920,1100,1100,1200,1200,1200,139,18,390,429.4045167864575,2.490249986294657,1150.729249988217,6192.6115107913665
1776102550,10,,Aggregated,4.100000,0.800000,390,520,580,620,800,950,1100,1200,1400,1400,1400,143,19,390,439.75363200256874,2.490249986294657,1449.186792015098,6207.937062937063
1776102551,10,,Aggregated,3.800000,0.700000,390,520,580,620,800,960,1200,1400,1700,1700,1700,148,20,390,446.39056644833494,2.490249986294657,1679.0455000009388,6184.243243243243
1776102552,10,,Aggregated,3.700000,0.400000,390,520,580,620,800,960,1100,1400,1700,1700,1700,151,20,390,447.769488697557,2.490249986294657,1679.0455000009388,6237.0066225165565
1776102553,10,,Aggregated,3.800000,0.500000,390,520,580,620,800,960,1100,1400,1700,1700,1700,155,20,390,444.300840060497,2.490249986294657,1679.0455000009388,6250.832258064516
1776102554,10,,Aggregated,3.900000,0.500000,390,520,580,610,800,960,1100,1400,1700,1700,1700,159,20,390,442.0201601098151,2.490249986294657,1679.0455000009388,6315.96855345912
1776102555,10,,Aggregated,3.600000,0.400000,380,460,570,610,790,950,1100,1400,1700,1700,1700,165,21,380,435.80085858491,2.490249986294657,1679.0455000009388,6356.854545454546
1776102556,10,,Aggregated,3.800000,0.400000,380,450,570,610,790,950,1100,1400,1700,1700,1700,168,21,370,433.847075145639,2.490249986294657,1679.0455000009388,6351.976190476191
1776102557,10,,Aggregated,3.900000,0.400000,370,450,570,600,780,950,1100,1400,1700,1700,1700,172,21,370,431.7103880843375,2.490249986294657,1679.0455000009388,6361.761627906977
1776102558,10,,Aggregated,3.900000,0.400000,380,450,570,610,780,950,1100,1400,1700,1700,1700,178,21,370,432.1851753345246,2.490249986294657,1679.0455000009388,6352.387640449439
1776102559,10,,Aggregated,3.800000,0.400000,370,450,570,600,780,920,1100,1400,1700,1700,1700,181,21,370,431.792468477995,2.490249986294657,1679.0455000009388,6347.933701657458
1776102560,10,,Aggregated,3.900000,0.300000,380,450,570,610,780,920,1100,1400,1700,1700,1700,189,23,380,428.40949627238194,2.490249986294657,1679.0455000009388,6364.550264550265
1776102561,10,,Aggregated,4.000000,0.300000,370,450,570,600,750,920,1100,1400,1700,1700,1700,191,23,370,427.57280193956774,2.490249986294657,1679.0455000009388,6347.178010471204
1776102562,10,,Aggregated,4.200000,0.300000,380,450,550,600,750,920,1100,1400,1700,1700,1700,194,24,370,425.8072583989562,2.490249986294657,1679.0455000009388,6299.81443298969
1776102563,10,,Aggregated,4.600000,0.400000,380,450,570,610,780,950,1100,1400,1700,1700,1700,200,25,380,429.6376885724021,2.490249986294657,1679.0455000009388,6292.685
1776102564,10,,Aggregated,4.300000,0.300000,370,450,550,600,780,920,1100,1200,1700,1700,1700,207,29,370,419.71233416633265,1.8602909985929728,1679.0455000009388,6169.623188405797
1776102565,10,,Aggregated,4.500000,0.500000,370,450,550,600,750,920,1100,1200,1700,1700,1700,211,33,370,411.8202891257609,1.8602909985929728,1679.0455000009388,6054.199052132702
1776102566,10,,Aggregated,4.500000,0.500000,370,440,540,580,750,920,1100,1200,1700,1700,1700,217,39,370,400.5266140810051,1.8602909985929728,1679.0455000009388,5889.041474654377
1776102567,10,,Aggregated,4.700000,0.900000,370,440,540,580,750,920,1100,1200,1700,1700,1700,220,42,370,395.1098598754139,1.8602909985929728,1679.0455000009388,5809.840909090909
1776102568,10,,Aggregated,4.600000,1.200000,360,420,540,580,730,920,1100,1200,1700,1700,1700,224,46,360,388.12103220776146,1.8602909985929728,1679.0455000009388,5707.540178571428
1776102569,10,,Aggregated,4.900000,1.900000,360,420,530,580,700,920,1100,1200,1700,1700,1700,232,54,350,374.8551584290469,1.8602909985929728,1679.0455000009388,5513.521551724138
1776102570,10,,Aggregated,4.700000,2.200000,350,410,530,580,700,920,1100,1200,1700,1700,1700,234,56,350,371.67704560491455,1.8602909985929728,1679.0455000009388,5467.089743589743
1776102571,10,,Aggregated,4.700000,2.600000,350,410,520,570,700,920,1100,1200,1700,1700,1700,239,61,350,363.9712496719101,1.8602909985929728,1679.0455000009388,5354.410041841004
1776102572,10,,Aggregated,5.000000,3.300000,340,410,520,570,690,910,1100,1200,1700,1700,1700,244,66,340,356.58255176471744,1.8602909985929728,1679.0455000009388,5246.348360655737
1776102573,10,,Aggregated,4.500000,3.300000,340,410,520,570,690,910,1100,1200,1700,1700,1700,247,69,340,352.29186338715647,1.8602909985929728,1679.0455000009388,5183.611336032389
1776102574,10,,Aggregated,4.900000,3.900000,330,400,520,570,690,910,1100,1200,1700,1700,1700,255,77,330,341.3435683279828,1.8602909985929728,1679.0455000009388,5023.529411764706
