Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/decision-traces/{id},268,153,4,259.5103294501748,1.6777089913375676,2048.0296250316314,291.17164179104475,0.8961616015232374,0.5116146456457288,4,310,390,470,770,1000,1600,2000,2000,2000,2000
GET,GET /api/v1/incidents,919,504,4,276.5824124410848,1.4031670289114118,2423.3299160259776,4036.3699673558217,3.0730317604472206,1.6853188327153419,4,340,410,510,750,1100,1700,2000,2400,2400,2400
POST,POST /api/v1/decision-traces/{id}/approvals,132,132,4,4.4579355973947905,2.249083947390318,10.704791988246143,266.969696969697,0.44139302761592286,0.44139302761592286,4,5,5,5,6,6,7,7,11,11,11
,Aggregated,1319,789,4,245.88055559125087,1.4031670289114118,2423.3299160259776,2898.1789234268385,4.410586389586381,2.638326505976994,4,310,380,440,700,1000,1700,1900,2400,2400,2400
